No.,bedroom_num,total_bedroom_area(m2),study_area(m2),indoor_garden_area(m2),kitchen_area(m2),bathroom_area(m2),balcony_area(m2),floorplan_total_are(m2)
70,3,33.01 ,0.00 ,5.12 ,7.29 ,10.78 ,14.27 ,114.65 
71,3,38.83 ,0.00 ,4.09 ,5.32 ,11.55 ,14.55 ,124.05 
72,4,34.24 ,6.36 ,0.00 ,4.61 ,6.76 ,5.96 ,98.00 
73,3,33.66 ,0.00 ,0.00 ,6.66 ,3.23 ,4.82 ,90.43 
74,2,21.42 ,0.00 ,0.00 ,4.93 ,4.10 ,9.69 ,86.58 
75,3,48.28 ,0.00 ,0.00 ,7.18 ,10.27 ,6.74 ,120.88 
76,3,31.48 ,0.00 ,0.00 ,7.48 ,7.26 ,4.75 ,94.37 
77,3,44.04 ,0.00 ,3.24 ,7.85 ,9.12 ,19.03 ,132.16 
78,3,25.86 ,0.00 ,3.40 ,4.99 ,7.00 ,4.14 ,79.82 
79,3,29.98 ,0.00 ,3.39 ,8.37 ,9.47 ,5.09 ,99.28 
80,3,29.98 ,0.00 ,0.00 ,5.03 ,7.04 ,7.60 ,92.91 
81,3,36.65 ,0.00 ,0.00 ,8.57 ,7.22 ,8.49 ,110.63 
82,3,35.27 ,0.00 ,3.38 ,8.08 ,8.04 ,8.08 ,104.79 
83,4,43.93 ,7.84 ,3.21 ,7.04 ,10.20 ,10.90 ,134.21 
84,4,44.38 ,0.00 ,0.00 ,5.29 ,7.52 ,7.03 ,114.12 
85,4,47.96 ,0.00 ,0.00 ,6.70 ,7.51 ,7.81 ,122.01 
86,3,44.11 ,0.00 ,0.00 ,4.83 ,9.32 ,16.22 ,124.92 
87,3,33.99 ,0.00 ,3.51 ,5.84 ,2.48 ,6.31 ,97.14 
88,3,33.11 ,0.00 ,0.00 ,5.77 ,13.06 ,5.30 ,94.14 
89,3,32.74 ,0.00 ,0.00 ,5.55 ,15.23 ,6.71 ,103.50 
90,3,31.74 ,0.00 ,0.00 ,7.17 ,5.74 ,8.03 ,98.42 
91,3,34.32 ,0.00 ,0.00 ,7.04 ,6.64 ,6.74 ,96.98 
92,3,34.77 ,0.00 ,0.00 ,8.46 ,7.27 ,4.60 ,98.98 
93,3,34.23 ,0.00 ,8.56 ,5.56 ,8.49 ,8.42 ,121.27 
94,3,36.58 ,0.00 ,0.00 ,14.03 ,14.81 ,13.80 ,138.26 
95,2,29.68 ,0.00 ,0.00 ,6.53 ,3.70 ,7.84 ,81.03 
96,2,22.17 ,0.00 ,0.00 ,5.44 ,3.76 ,10.19 ,78.67 
97,2,20.35 ,0.00 ,6.86 ,4.20 ,1.91 ,9.45 ,75.08 
98,3,32.41 ,0.00 ,0.00 ,6.82 ,7.15 ,4.64 ,91.69 
99,2,26.12 ,0.00 ,0.00 ,5.30 ,3.44 ,12.70 ,80.94 
100,3,37.07 ,0.00 ,0.00 ,6.03 ,4.35 ,6.92 ,95.07 
101,2,27.43 ,0.00 ,0.00 ,6.80 ,3.59 ,6.35 ,81.04 
102,2,32.69 ,0.00 ,0.00 ,6.57 ,4.20 ,8.30 ,87.79 
103,4,60.56 ,0.00 ,8.26 ,7.50 ,9.39 ,10.27 ,149.82 
104,4,53.65 ,11.39 ,3.79 ,6.03 ,17.89 ,20.21 ,178.50 
105,3,39.88 ,0.00 ,0.00 ,5.79 ,4.36 ,9.69 ,97.95 
106,3,32.77 ,10.46 ,3.94 ,6.36 ,2.76 ,6.78 ,109.88 
107,2,24.24 ,0.00 ,0.00 ,5.51 ,3.48 ,6.40 ,74.32 
108,3,31.28 ,0.00 ,0.00 ,7.85 ,9.23 ,9.44 ,93.22 
109,3,31.82 ,7.93 ,3.28 ,6.04 ,7.60 ,6.94 ,111.73 
110,2,21.20 ,0.00 ,3.59 ,5.99 ,4.23 ,4.01 ,67.90 
111,2,23.66 ,0.00 ,0.00 ,5.15 ,3.97 ,7.79 ,79.31 
112,2,21.44 ,0.00 ,6.21 ,5.74 ,4.23 ,6.67 ,84.49 
113,3,32.83 ,0.00 ,5.41 ,5.99 ,8.21 ,11.03 ,100.95 
114,4,59.77 ,0.00 ,0.00 ,6.38 ,14.80 ,12.01 ,156.19 
115,3,34.75 ,0.00 ,6.14 ,6.77 ,3.99 ,6.61 ,98.79 
116,2,18.46 ,0.00 ,0.00 ,4.41 ,4.31 ,0.00 ,58.26 
117,3,37.27 ,0.00 ,4.76 ,6.23 ,8.67 ,16.24 ,125.79 
118,2,28.31 ,0.00 ,0.00 ,6.32 ,7.54 ,13.18 ,96.64 
119,3,35.16 ,0.00 ,0.00 ,7.45 ,7.91 ,6.00 ,99.51 
120,3,25.42 ,6.57 ,3.30 ,6.75 ,7.91 ,4.78 ,91.96 
121,3,40.93 ,0.00 ,4.28 ,5.07 ,7.60 ,7.29 ,113.35 
122,4,42.94 ,8.07 ,0.00 ,6.19 ,6.98 ,6.12 ,123.93 
123,3,35.68 ,0.00 ,0.00 ,6.83 ,2.49 ,7.08 ,89.69 
124,2,25.93 ,0.00 ,0.00 ,4.25 ,7.34 ,4.31 ,78.77 
125,2,31.62 ,0.00 ,0.00 ,6.43 ,4.11 ,8.12 ,94.61 
126,4,36.82 ,7.07 ,0.00 ,6.46 ,10.67 ,10.46 ,122.18 
127,2,14.85 ,0.00 ,2.55 ,2.60 ,4.02 ,9.11 ,61.29 
128,3,31.48 ,0.00 ,0.00 ,7.41 ,8.52 ,9.37 ,104.71 
129,4,59.64 ,0.00 ,0.00 ,7.26 ,9.83 ,8.42 ,136.85 
130,3,31.41 ,0.00 ,5.00 ,5.74 ,9.11 ,6.07 ,95.74 
131,3,32.92 ,0.00 ,3.31 ,4.56 ,8.40 ,6.41 ,103.59 
132,2,30.15 ,0.00 ,0.00 ,6.48 ,4.57 ,10.48 ,95.52 
133,3,30.82 ,11.09 ,0.00 ,5.67 ,11.31 ,6.86 ,109.89 
134,3,43.20 ,0.00 ,0.00 ,6.31 ,11.01 ,9.18 ,122.08 
135,4,58.30 ,0.00 ,0.00 ,7.08 ,14.14 ,9.71 ,137.43 
136,3,23.31 ,5.14 ,0.00 ,4.90 ,5.89 ,9.64 ,88.09 
137,2,25.35 ,0.00 ,0.00 ,5.99 ,3.37 ,11.17 ,74.17 
138,2,22.68 ,0.00 ,0.00 ,6.48 ,3.99 ,10.50 ,76.82 
139,2,28.88 ,0.00 ,0.00 ,5.16 ,5.59 ,7.67 ,84.84 
140,2,20.20 ,0.00 ,0.00 ,5.25 ,3.34 ,7.48 ,76.21 
141,3,30.37 ,0.00 ,0.00 ,6.71 ,4.43 ,8.91 ,83.10 
142,3,28.67 ,0.00 ,0.00 ,4.89 ,3.66 ,8.91 ,84.68 
143,3,33.99 ,0.00 ,0.00 ,5.55 ,6.54 ,4.95 ,83.73 
144,3,31.55 ,0.00 ,0.00 ,5.87 ,6.64 ,7.08 ,90.37 
145,4,43.30 ,0.00 ,0.00 ,5.18 ,4.93 ,4.21 ,89.30 
146,4,46.73 ,0.00 ,0.00 ,6.54 ,10.04 ,9.61 ,114.82 
147,3,33.85 ,0.00 ,8.17 ,5.39 ,6.34 ,5.98 ,96.58 
148,3,31.67 ,0.00 ,0.00 ,5.55 ,8.41 ,7.76 ,97.24 
149,4,42.03 ,9.60 ,0.00 ,6.99 ,9.34 ,9.85 ,126.14 
150,3,38.25 ,0.00 ,0.00 ,8.76 ,9.90 ,9.29 ,111.44 
151,3,21.52 ,7.75 ,0.00 ,6.59 ,8.40 ,4.51 ,93.96 
152,3,25.70 ,0.00 ,0.00 ,6.95 ,8.87 ,4.95 ,90.53 
153,4,45.16 ,0.00 ,0.00 ,9.80 ,10.29 ,9.00 ,116.67 
154,2,30.35 ,0.00 ,0.00 ,5.17 ,4.81 ,9.19 ,80.08 
155,3,30.50 ,0.00 ,0.00 ,5.47 ,8.43 ,5.60 ,88.95 
156,4,43.75 ,0.00 ,7.85 ,8.78 ,9.39 ,6.49 ,126.27 
157,4,51.57 ,0.00 ,0.00 ,8.13 ,14.12 ,9.26 ,141.13 
